,Название,Описание,Цена,words
0,пицца~Мясная,"Пицца соус, сыр Моцарелла, томат, куриное филе, пепперони, свинина, бекон",695,"пицца_NOUN,мясной_ADJ"
1,пицца~Аппетитная Курочка,"Белый соус, куриное филе, лук зелёный, сыр Моцарелла",575,"пицца_NOUN,аппетитный_ADJ,курочка_NOUN"
2,пицца~Маргарита,"Пицца соус, сыр Моцарелла, томат и Пармезан",475,"пицца_NOUN,маргарита_NOUN"
3,пицца~Чикен Алоха,"Пицца соус, сыр моцарелла, куриное филе, ананас, перец болгарский, кисло-сладкий соус, кунжут",545,"пицца_NOUN,чикены_NOUN"
4,пицца~Пепперони,"Пицца соус, пепперони, сыр Моцарелла",595,пицца_NOUN
5,пицца~Охотничья,"Пицца соус, сыр моцарелла, томат, охотничьи колбаски, перец болгарский, маслины, лук красный и лук фри",655,"пицца_NOUN,охотничий_ADJ"
6,пицца~Пицца BBQ,"Пицца соус, сыр Моцарелла, куриное филе варено-копченое, шампиньоны, ветчина, бекон, соус барбекю",645,пицца_NOUN
7,пицца~Жульен,"Грибы шампиньоны, обжаренные с луком,  в сливочном соусе, куриное филе, сыр моцарелла",660,"пицца_NOUN,жульен_NOUN"
8,пицца~Четыре сыра,"Пицца соус, сыры Моцарелла, Эмменталь, Дор блю и Чеддер",655,"пицца_NOUN,сыр_NOUN"
9,пицца~Ассорти Острая,"Огненный соус Табаджан, пепперони, говядина, перец болгарский, маслины, сыр Моцарелла, томат",560,"пицца_NOUN,ассорти_NOUN,острый_ADJ"
10,пицца~Ветчирелла,"Пицца Соус, сыр Моцарелла, ветчина, говядина копчено-вареная",440,пицца_NOUN
11,пицца~Суприм,"Пицца соус, сыр Моцарелла, пепперони, бекон, огурцы маринованные, лук красный, охотничьи колбаски, шампиньоны",720,пицца_NOUN
12,пицца~Цезарь,"Белый соус, салат айсберг, маслины, куриное филе, сыры Моцарелла и Пармезан",610,"пицца_NOUN,цезарь_NOUN"
13,пицца~Верона,"Белый соус, пепперони, ветчина, бекон, куриное филе, сыр Моцарелла",755,"пицца_NOUN,верона_NOUN"
14,пицца~Миланская,"Пицца соус, пепперони, шампиньоны, бекон, томат, сыр Моцарелла, куриное филе, лук красный, сыр Пармезан",755,"пицца_NOUN,миланский_ADJ"
15,пицца~Маринара Италиано,"Пицца соус, маслины, каперсы, сыр Моцарелла, Орегано",385,пицца_NOUN
16,пицца~Баварская,"Пицца соус, сыр Моцарелла, сосиски, ломтики бекона, томаты",775,"пицца_NOUN,баварский_ADJ"
17,пицца~Дракон,"Огненный соус Табаджан, пепперони, шампиньоны, ветчина, сыр Моцарелла, перец халапеньо.",560,"пицца_NOUN,дракон_NOUN"
18,пицца~Фруктовая,"Сливочный соус, вишня, ананас",480,"пицца_NOUN,фруктовый_ADJ"
19,пицца~Деревенская,"Пицца соус, лук красный, томат, свинина, бекон, шампиньоны, сыр Моцарелла",645,"пицца_NOUN,деревенский_ADJ"
20,пицца~Классика,"Пицца соус, шампиньоны, ветчина, пепперони, сыр Моцарелла",545,"пицца_NOUN,классика_NOUN"
21,пицца~Венецианская,"Пицца соус, сыр Моцарелла, говядина, томат, лук красный, огурцы маринованные, перец халапеньо",555,"пицца_NOUN,венецианский_ADJ"
22,пицца~Грибная,"Сливки, шампиньоны, сыр Моцарелла",610,"пицца_NOUN,грибной_ADJ"
23,пицца~Аль Тоне Тунец,"Пицца соус, сыр Моцарелла, помидоры, филе тунца, лук красный",565,"пицца_NOUN,тон_NOUN,тунец_NOUN"
