,Название,Описание,Цена,words
0,Велосипеды / Велосипеды / Туринги / AUTHOR / Велосипед AUTHOR Ronin Red 2019 /~Велосипед AUTHOR Ronin Red 2019,"Хромолевый грэвел (gravel) Author RONIN 2019 года доступен по предзаказу. Комфорт в длительных поездках обеспечивается за счет использования относительно мягкой хромомолибденовой рамы с тройным баттингом и вилки 700C. Качественная трансмиссия Shimano Tiagra 20 скоростей позволит легко преодолевать любые рельефы местности. На велосипеде установлены дисковые механические тормоза, на раме и вилке есть много точек крепления для багажников, крыльев, фляжек. Вес велосипеда 11,9 кг.Author RONIN - отличный вариант для катания как по проселочным дорогам, так и городским улицам.  Велосипед может использоваться и как ""внедорожный"" шоссейник, на котором совершенно спокойно можно ехать по разбитому асфальту, гравийной дороге или лесной тропе с корнями, и как туристический велосипед для дальних поездок с багажником и велорюкзаком.",84000,"велосипед_NOUN,туринга_NOUN"
1,Велосипеды / Велосипеды / Горные / BERGAMONT / Велосипед BERGAMONT Revox 3.0 27.5 Black 2018 (2) /~Велосипед BERGAMONT Revox 3.0 27.5 Black 2018 (2),"Универсальный горный велосипед, который отлично подойдёт как для ежедневных поездок на работу, так и для путешествий. Велосипед собран на основе рамы с универсальной геометрией, из алюминиевого сплава 6ти-тысячной серии. При помощи дополнительной термообработки, не только рама, но и все сварные швы равномерно доводятся до прочности максимального уровня Т6.Все элементы трансмиссии представлены брендом Shimano 3х8 в комплектации начального уровня. 24 скоростей вполне достаточно для преодоления и равнинных, и холмистых дорог. С долговечными тросиками Jagwire трансмиссия максимально долго не нуждается в настойке. Покрышки Impac SmartPac – качественная бюджетная резина с универсальным протектором, грязе- и водоотводами. Защита Kevlarguard это гибкий слой повышенной мощности, который позволяет обеспечить высокий уровень безопасности от проколов. При этом покрышки с данной технологией меньше сопротивляются качению. В 2018 году модель получила новые гидравлические дисковые тормоза Shimano M315. Тормозная ручка нажимается мягко, дозирование нажатия ощущается лучше, чем в механике, органические тормозные колодки стираются равномерно. Тормозной калипер с креплением Flat Mount находится между перьями, что обеспечивает надежность работы и удобство обслуживания. Улучшена и амортизация. Теперь это вилка Suntour XCT с ходом 80 мм. Это вариант для байков начального уровня.Bergamont Revox 3.0 – брендовый немецкий байк по доступной цене. Хорошо подойдет новичкам и велолюбителям, для загородных покатушек или ежедневных городских поездок.",43450,"велосипед_NOUN,горный_ADJ"
2,Велосипеды / Велосипеды / Горные / BERGAMONT / Велосипед BERGAMONT Revox 3.0 27.5 Cyan 2018 (2) /~Велосипед BERGAMONT Revox 3.0 27.5 Cyan 2018 (2),"Универсальный горный велосипед, который отлично подойдёт как для ежедневных поездок на работу, так и для путешествий. Велосипед собран на основе рамы с универсальной геометрией, из алюминиевого сплава 6ти-тысячной серии. При помощи дополнительной термообработки, не только рама, но и все сварные швы равномерно доводятся до прочности максимального уровня Т6.Все элементы трансмиссии представлены брендом Shimano 3х8 в комплектации начального уровня. 24 скоростей вполне достаточно для преодоления и равнинных, и холмистых дорог. С долговечными тросиками Jagwire трансмиссия максимально долго не нуждается в настойке. Покрышки Impac SmartPac – качественная бюджетная резина с универсальным протектором, грязе- и водоотводами. Защита Kevlarguard это гибкий слой повышенной мощности, который позволяет обеспечить высокий уровень безопасности от проколов. При этом покрышки с данной технологией меньше сопротивляются качению. В 2018 году модель получила новые гидравлические дисковые тормоза Shimano M315. Тормозная ручка нажимается мягко, дозирование нажатия ощущается лучше, чем в механике, органические тормозные колодки стираются равномерно. Тормозной калипер с креплением Flat Mount находится между перьями, что обеспечивает надежность работы и удобство обслуживания. Улучшена и амортизация. Теперь это вилка Suntour XCT с ходом 80 мм. Это вариант для байков начального уровня.Bergamont Revox 3.0 – брендовый немецкий байк по доступной цене. Хорошо подойдет новичкам и велолюбителям, для загородных покатушек или ежедневных городских поездок.",43450,"велосипед_NOUN,горный_ADJ"
3,Велосипеды / Велосипеды / Горные / BERGAMONT / Велосипед BERGAMONT Revox 3.0 Black 2018 (2) /~Велосипед BERGAMONT Revox 3.0 Black 2018 (2),"В 2018 году компания Bergamont решила объединить две модели Roxter (27.5"") и Revox (29"") в одну, оставив название Revox. А вот с диаметрами колес разработчики поступили хитро, теперь велосипеды в малых ростовках имеют колеса диаметром 27,5"", а начиная с средней и выше - 29"".Горный велосипед 29"" Bergamont Revox 3.0 - недорогой представитель семейства найнеров от именитого немецкого производителя. Данный велосипед отлично подойдет для любительского катания и, благодаря высококачественной раме, открывает перед владельцем широкий простор для апгрейда.Все элементы трансмиссии представлены брендом Shimano 3х8 в комплектации начального уровня. 24 скоростей вполне достаточно для преодоления и равнинных, и холмистых дорог. С долговечными тросиками Jagwire трансмиссия максимально долго не нуждается в настойке. Покрышки Impac SmartPac – качественная бюджетная резина с универсальным протектором, грязе- и водоотводами. Защита Kevlarguard это гибкий слой повышенной мощности, который позволяет обеспечить высокий уровень безопасности от проколов. При этом покрышки с данной технологией меньше сопротивляются качению. В 2018 году модель получила новые гидравлические дисковые тормоза Shimano M315. Тормозная ручка нажимается мягко, дозирование нажатия ощущается лучше, чем в механике, органические тормозные колодки стираются равномерно. Тормозной калипер с креплением Flat Mount находится между перьями, что обеспечивает надежность работы и удобство обслуживания. Улучшена и амортизация. Теперь это вилка Suntour XCT с ходом 80 мм. Это вариант для байков начального уровня.Bergamont Revox 3.0 – брендовый немецкий байк по доступной цене. Хорошо подойдет новичкам и велолюбителям, для загородных покатушек или ежедневных городских поездок.",43450,"велосипед_NOUN,горный_ADJ"
4,Велосипеды / Велосипеды / Горные / BERGAMONT / Велосипед BERGAMONT Revox 3.0 Cyan 2018 (2) /~Велосипед BERGAMONT Revox 3.0 Cyan 2018 (2),"В 2018 году компания Bergamont решила объединить две модели Roxter (27.5"") и Revox (29"") в одну, оставив название Revox. А вот с диаметрами колес разработчики поступили хитро, теперь велосипеды в малых ростовках имеют колеса диаметром 27,5"", а начиная с средней и выше - 29"".Горный велосипед 29"" Bergamont Revox 3.0 - недорогой представитель семейства найнеров от именитого немецкого производителя. Данный велосипед отлично подойдет для любительского катания и, благодаря высококачественной раме, открывает перед владельцем широкий простор для апгрейда.Все элементы трансмиссии представлены брендом Shimano 3х8 в комплектации начального уровня. 24 скоростей вполне достаточно для преодоления и равнинных, и холмистых дорог. С долговечными тросиками Jagwire трансмиссия максимально долго не нуждается в настойке. Покрышки Impac SmartPac – качественная бюджетная резина с универсальным протектором, грязе- и водоотводами. Защита Kevlarguard это гибкий слой повышенной мощности, который позволяет обеспечить высокий уровень безопасности от проколов. При этом покрышки с данной технологией меньше сопротивляются качению. В 2018 году модель получила новые гидравлические дисковые тормоза Shimano M315. Тормозная ручка нажимается мягко, дозирование нажатия ощущается лучше, чем в механике, органические тормозные колодки стираются равномерно. Тормозной калипер с креплением Flat Mount находится между перьями, что обеспечивает надежность работы и удобство обслуживания. Улучшена и амортизация. Теперь это вилка Suntour XCT с ходом 80 мм. Это вариант для байков начального уровня.Bergamont Revox 3.0 – брендовый немецкий байк по доступной цене. Хорошо подойдет новичкам и велолюбителям, для загородных покатушек или ежедневных городских поездок.",43450,"велосипед_NOUN,горный_ADJ"
5,Велосипеды / Велосипеды / Горные / BERGAMONT / Велосипед BERGAMONT Revox 4.0 27.5 Black 2018 (2) /~Велосипед BERGAMONT Revox 4.0 27.5 Black 2018 (2),"Bergamont Revox 4.0 - модель среднего ценового диапазона, подойдет для поездок на каждый день и длительных прогулок выходного дня. Велосипед оборудован качественными компонентами, которые имеют длительный срок службы и неприхотливы в настройке. Трансмиссия представлена версией 3х9 скоростей - это привычный для горных велосипедов стандарт, ведь основное назначение велосипеда - это преодоление гористой местности со сложным рельефом, где присутствуют частые подъемы и стремительные спуски. У вас будет возможность подобрать подходящее усилие, с которым нужно давить на педали. Также стоит отметить современную тормозную систему Shimano, представленную гидравлической версией. Такое решение не требует от владельца вмешательства в настройку работы тормозов, ведь гидравлические системы сами регулируют зазор между тормозным ротором и колодками. амортизационная вилка Suntour с возможностью блокировкиBergamont Revox 4.0 - это идеальный выбор для тех, кто ищет качественный и доступный горный велосипед на долгие годы.В 2018 году компания Bergamont решила объединить две модели Roxter (27.5"") и Revox (29"") в одну, оставив название Revox. А вот с диаметрами колес разработчики поступили хитро, теперь велосипеды в малых ростовках имеют колеса диаметром 27,5"", а начиная с средней и выше - 29"".",50950,"велосипед_NOUN,горный_ADJ"
6,Велосипеды / Велосипеды / Горные / BERGAMONT / Велосипед BERGAMONT Revox 4.0 Black 2018 (2) /~Велосипед BERGAMONT Revox 4.0 Black 2018 (2),"Bergamont Revox 4.0 - модель среднего ценового диапазона, подойдет для поездок на каждый день и длительных прогулок выходного дня. Велосипед оборудован качественными компонентами, которые имеют длительный срок службы и неприхотливы в настройке. Трансмиссия представлена версией 3х9 скоростей - это привычный для горных велосипедов стандарт, ведь основное назначение велосипеда - это преодоление гористой местности со сложным рельефом, где присутствуют частые подъемы и стремительные спуски. У вас будет возможность подобрать подходящее усилие, с которым нужно давить на педали. Также стоит отметить современную тормозную систему Shimano, представленную гидравлической версией. Такое решение не требует от владельца вмешательства в настройку работы тормозов, ведь гидравлические системы сами регулируют зазор между тормозным ротором и колодками. амортизационная вилка Suntour с возможностью блокировкиBergamont Revox 4.0 - это идеальный выбор для тех, кто ищет качественный и доступный горный велосипед на долгие годы.В 2018 году компания Bergamont решила объединить две модели Roxter (27.5"") и Revox (29"") в одну, оставив название Revox. А вот с диаметрами колес разработчики поступили хитро, теперь велосипеды в малых ростовках имеют колеса диаметром 27,5"", а начиная с средней и выше - 29"".",50950,"велосипед_NOUN,горный_ADJ"
7,Велосипеды / Велосипеды / Горные / BERGAMONT / Велосипед BERGAMONT Revox 5.0 27.5 Dark Blue 2018 (2) /~Велосипед BERGAMONT Revox 5.0 27.5 Dark Blue 2018 (2),"Универсальный горный велосипед на гидравлике с оборудованием Deore? Ваш выбор - Велосипед Bergamont модель Revox 5.0 2018 Blue - это горный велосипед среднего ценового сегмента, который укомплектован серьезным оборудованием. Подойдет передвижения по городу на каждый день, выезда на бездорожье, лесные тропы, а так же для длительных поездок и даже любительских соревнований. Данная модель оснащена колесами размером 27.5 дюймов. Рама изготовлена из облегченного алюминиевого сплава, с применением технологий гидроформинга и баттинга с внутренней проводкой тросов и рубашек, благодаря этому она имеет легкий вес, эффектные формы и высокую надежность. У инженеров Bergamont получился очень надежный, качественный и сбалансированный велосипед, который подойдет как начинающему велосипедисту, так и более опытному райдеру.",57240,"велосипед_NOUN,горный_ADJ"
8,Велосипеды / Велосипеды / Горные / BERGAMONT / Велосипед BERGAMONT Revox 5.0 Dark Blue 2018 (2) /~Велосипед BERGAMONT Revox 5.0 Dark Blue 2018 (2),"Найнер на гидравлике с оборудованием Deore? Ваш выбор - Велосипед Bergamont модель Revox 5.0 2018 Blue - это горный велосипед среднего ценового сегмента, который укомплектован серьезным оборудованием. Подойдет передвижения по городу на каждый день, выезда на бездорожье, лесные тропы, а так же для длительных поездок и даже любительских соревнований. Данная модель оснащена колесами размером 29 дюймов. Рама изготовлена из облегченного алюминиевого сплава, с применением технологий гидроформинга и баттинга с внутренней проводкой тросов и рубашек, благодаря этому она имеет легкий вес, эффектные формы и высокую надежность. У инженеров Bergamont получился очень надежный, качественный и сбалансированный велосипед, который подойдет как начинающему велосипедисту, так и более опытному райдеру.",57240,"велосипед_NOUN,горный_ADJ"
9,Велосипеды / Велосипеды / Горные / BERGAMONT / Велосипед BERGAMONT Revox 7.0 Gray 2018 (2) /~Велосипед BERGAMONT Revox 7.0 Gray 2018 (2),"Bergamont Revox 7.0 29"" 2018 – этот мощный велосипед для тех, кто знает толк в качественных велосипедах и надежных комплектующих. Легкая алюминиевая рама, воздушная вилка, которая отрабатывает неровности на все 100%. Надежная полупрофессиональная трансмиссия Shimano SLX, система шатунов с 2-мя звездами лучший вариант в поездках как по пересеченной местности, так и в условиях города. Дисковые гидравлические тормоза - обеспечат более плавное и надежное торможение. Покупая этот велосипед, вы получаете немецкое качество по лучшей цене!",81960,"велосипед_NOUN,горный_ADJ"
