,Название,Описание,Цена,words
0,Велосипеды~Горный велосипед~Alpine Bike 1000S C-class (2017),,11490,"горный_ADJ,велосипед_NOUN"
1,Велосипеды~Детский велосипед~Alpine Bike F1 (2017),,20490,"детский_ADJ,велосипед_NOUN"
2,"Велосипеды~Горный велосипед~Stels Navigator 660 MD 27.5""+ V020 (2017)",,17400,"горный_ADJ,велосипед_NOUN"
3,Велосипеды~Дорожный велосипед~Schwinn Alu 7 Women (2018),,19500,"дорожный_ADJ,велосипед_NOUN"
4,Велосипеды~Детский велосипед~Schwinn Baywood 24 (2018),,10700,"детский_ADJ,велосипед_NOUN"
5,Велосипеды~Дорожный велосипед~Schwinn Fleet (2018),,29590,"дорожный_ADJ,велосипед_NOUN"
6,Велосипеды~Дорожный велосипед~Schwinn Gammon (2018),,15530,"дорожный_ADJ,велосипед_NOUN"
7,Велосипеды~Горный велосипед~Schwinn Mesa 2 (2018),,28080,"горный_ADJ,велосипед_NOUN"
8,Велосипеды~Дорожный велосипед~Schwinn Sivica 7 Women (2018),,24000,"дорожный_ADJ,велосипед_NOUN"
9,Велосипеды~Дорожный велосипед~Schwinn Traveler Women (2018),,22950,"дорожный_ADJ,велосипед_NOUN"
10,Велосипеды~BMX велосипед~Forward Zigzag 1.0 (2018),,13550,велосипед_NOUN
11,Велосипеды~Дорожный велосипед~Forward Tracer 2.0 disc (2018),,14950,"дорожный_ADJ,велосипед_NOUN"
12,Велосипеды~Дорожный велосипед~Forward Valencia 1.0 (2018),,5600,"дорожный_ADJ,велосипед_NOUN"
13,Велосипеды~Дорожный велосипед~Forward Tracer 1.0 (2018),,14250,"дорожный_ADJ,велосипед_NOUN"
14,Велосипеды~Детский велосипед~Forward Funky 18 (2018),,5890,"детский_ADJ,велосипед_NOUN"
15,Велосипеды~Дорожный велосипед~Forward Evia 26 1.0 (2018),,11950,"дорожный_ADJ,велосипед_NOUN"
16,Велосипеды~Горный велосипед~Forward Dakota 26 1.0 (2018),,9600,"горный_ADJ,велосипед_NOUN"
17,Велосипеды~Детский велосипед~Forward Benfica 20 (2018),,9550,"детский_ADJ,велосипед_NOUN"
